rank,player,team,salary_y1,salary_y2,salary_y3,salary_y4,salary_y5,salary_y6,guaranteed,bbref_id
1,Stephen Curry,GSW,$62587158,,,,,,$62587158,curryst01
2,Nikola Jokić,DEN,$59033114,$62841702,,,,,$59033114,jokicni01
3,Jayson Tatum,BOS,$58456566,$62786682,$67116798,$71446914,,,$188360046,tatumja01
4,Anthony Davis,WAS,$58456566,$62786682,,,,,$58456566,davisan02
5,Giannis Antetokounmpo,MIA,$58456566,$62786682,,,,,$58456566,antetgi01
6,Joel Embiid,PHI,$58100000,$62748000,$67396000,,,,$120848000,embiijo01
7,Jaylen Brown,PHI,$57078728,$61015192,$64951656,,,,$183045576,brownja02
8,Devin Booker,PHO,$57078728,$61015192,$64065952,$69191228,,,$182159872,bookede01
9,Karl-Anthony Towns,NYK,$57078728,$61015192,,,,,$57078728,townska01
10,Jimmy Butler,GSW,$56832773,,,,,,$56832773,butleji01
13,Donovan Mitchell,CLE,$50105628,$60911900,$65784852,$70657804,$75530756,,$247460184,mitchdo01
19,Luka Dončić,LAL,$49800000,$53784000,$57768000,,,,$103584000,doncilu01
24,Tyrese Haliburton,IND,$48924624,$52298736,$55672848,,,,$156896208,halibty01
28,Kevin Durant,HOU,$43902439,$46097561,,,,,$43902439,duranke01
31,Zion Williamson,NOP,$42166510,$44886930,,,,,$87053440,willizi01
39,Shai Gilgeous-Alexander,OKC,$40806150,$61005000,$65885400,$70765800,$75646200,,$238462350,gilgesh01
54,Mikal Bridges,NYK,$33482145,$36160714,$38839285,$41517856,,,$108482144,bridgmi01
60,James Harden,CLE,$30647619,$32180000,$33712381,,,,$62827619,hardeja01
113,Victor Wembanyama,SAS,$16868246,$43500000,$46980000,$50460000,$53940000,$57420000,$211748246,wembavi01
128,AJ Dybantsa,WAS,$14748000,$15485760,$16223040,$20457254,,,$30233760,dybanaj01
131,Cooper Flagg,DAL,$14517480,$15208680,$19178146,,,,$14517480,flaggco01
145,Darryn Peterson,UTA,$13195320,$13855320,$14515320,$18318335,,,$27050640,peterda02
156,Cameron Boozer,MEM,$11849760,$12441840,$13034880,$16476089,,,$24291600,boozeca02
168,Caleb Wilson,CHI,$10683720,$11217960,$11752320,$14866685,,,$21901680,wilsoca01
260,Nate Ament,MIL,$5502000,$5777280,$6052200,$8648594,,,$11279280,amentna01
302,LeBron James,PHI,$3876529,$4070355,,,,,$3876529,jamesle01
402,DeMar DeRozan,DEN,$2449421,,,,,,$2449421,derozde01
